similarity_score_cow,similarity_score_elephant,similarity_score_horse,similarity_score_spider,most_similar_target,true_target,CORRECT,filename,parent_dir
0.256897,0.1930082,0.21096607,0.18077318,cow,cow,1,7255547.jpg,Train
0.29123858,0.20057708,0.23764846,0.18796241,cow,cow,1,3978928.jpg,Train
0.25754976,0.14788854,0.18892118,0.16286886,cow,cow,1,6219464.jpg,Train
0.2538681,0.1710105,0.21811399,0.1439146,cow,cow,1,5356151.jpg,Train
0.2463321,0.15392917,0.2223852,0.1687397,cow,cow,1,3517796.jpg,Train
0.2840131,0.1778864,0.21493544,0.16773671,cow,cow,1,7487672.jpg,Train
0.28543267,0.17290846,0.20724301,0.1750095,cow,cow,1,8073430.jpg,Train
0.2819255,0.21818465,0.24165283,0.1712136,cow,cow,1,8070139.jpg,Train
0.28131694,0.1973656,0.23480298,0.18857327,cow,cow,1,9579969.jpg,Train
0.25902468,0.167464,0.18739323,0.1800991,cow,cow,1,3256220.jpg,Train
0.31497335,0.19937454,0.23318036,0.20459396,cow,cow,1,1870258.jpg,Train
0.26024255,0.15093116,0.19574273,0.15493774,cow,cow,1,7358275.jpg,Train
0.29805708,0.18906486,0.2296618,0.19130507,cow,cow,1,3917135.jpg,Train
0.29461035,0.2074556,0.2394596,0.18348077,cow,cow,1,2944888.jpg,Train
0.27423963,0.18563752,0.23005766,0.1849079,cow,cow,1,8309873.jpg,Train
0.2878222,0.17776802,0.20946546,0.18286943,cow,cow,1,2797039.jpg,Train
0.26344982,0.17824784,0.22720195,0.15626271,cow,cow,1,8436628.jpg,Train
0.2537871,0.16209833,0.20162418,0.1767122,cow,cow,1,8421354.jpg,Train
0.3208557,0.2190343,0.262756,0.18497428,cow,cow,1,8410604.jpg,Train
0.26815662,0.16997944,0.21086398,0.15861966,cow,cow,1,7472162.jpg,Train
0.26001266,0.17464069,0.21102633,0.14780693,cow,cow,1,9389369.jpg,Train
0.2954593,0.17753692,0.21725968,0.17556152,cow,cow,1,8989686.jpg,Train
0.27879453,0.16728278,0.20356649,0.16336896,cow,cow,1,4315989.jpg,Train
0.27269405,0.16609803,0.20548297,0.17156,cow,cow,1,7913934.jpg,Train
0.28068212,0.1747762,0.21847175,0.1729218,cow,cow,1,7382633.jpg,Train
0.31604704,0.19486533,0.25913233,0.19255693,cow,cow,1,8742930.jpg,Train
0.30086073,0.19932452,0.22472882,0.18941276,cow,cow,1,4192651.jpg,Train
0.27101487,0.19366021,0.22267854,0.16642796,cow,cow,1,9443773.jpg,Train
0.29500678,0.18986815,0.22416979,0.1803172,cow,cow,1,8449177.jpg,Train
0.30496743,0.18091978,0.20733519,0.1745979,cow,cow,1,8548533.jpg,Train
0.31002262,0.20317914,0.23013099,0.16682357,cow,cow,1,8633887.jpg,Train
0.29835033,0.2038783,0.23915145,0.19082102,cow,cow,1,6472471.jpg,Train
0.25502023,0.19062243,0.21643333,0.17103243,cow,cow,1,3710492.jpg,Train
0.30642942,0.19460753,0.216795,0.19240445,cow,cow,1,7375091.jpg,Train
0.29509878,0.18348783,0.19762321,0.16475897,cow,cow,1,9654710.jpg,Train
0.26289013,0.18149768,0.23312062,0.16931629,cow,cow,1,7918487.jpg,Train
0.30375025,0.20132741,0.23008241,0.1667722,cow,cow,1,4216072.jpg,Train
0.26741123,0.20393535,0.24170199,0.20057182,cow,cow,1,5946341.jpg,Train
0.30735254,0.19728564,0.24118261,0.19932464,cow,cow,1,2302438.jpg,Train
0.3089122,0.20339541,0.24526004,0.18758981,cow,cow,1,1218642.jpg,Train
0.27478376,0.21833548,0.2538267,0.18147597,cow,cow,1,3919285.jpg,Train
0.24365474,0.17850715,0.18800993,0.1560523,cow,cow,1,7678964.jpg,Train
0.26746872,0.18328938,0.1996922,0.16236569,cow,cow,1,5320159.jpg,Train
0.2833029,0.18485336,0.20072834,0.15914242,cow,cow,1,5514919.jpg,Train
0.26863578,0.16785887,0.21495475,0.18026747,cow,cow,1,7362275.jpg,Train
0.2407612,0.16689554,0.20823245,0.14535129,cow,cow,1,6143670.jpg,Train
0.26286367,0.17999119,0.20213212,0.16626376,cow,cow,1,5003062.jpg,Train
0.26440904,0.19857435,0.21628127,0.15789363,cow,cow,1,8655732.jpg,Train
0.26389113,0.1512509,0.2090682,0.15216182,cow,cow,1,3957666.jpg,Train
0.25654224,0.18224275,0.22402656,0.1833197,cow,cow,1,5252915.jpg,Train
0.29688683,0.21011068,0.21215588,0.16122736,cow,cow,1,5711417.jpg,Train
0.29141578,0.18589173,0.22970763,0.19273295,cow,cow,1,9429583.jpg,Train
0.25984448,0.1807254,0.21385306,0.17046683,cow,cow,1,4079801.jpg,Train
0.2798212,0.18426833,0.20330249,0.16929281,cow,cow,1,9201732.jpg,Train
0.29890043,0.19948138,0.2181956,0.17894751,cow,cow,1,4103149.jpg,Train
0.30460432,0.18760154,0.23610513,0.18208435,cow,cow,1,6041503.jpg,Train
0.24244359,0.1796753,0.22411428,0.1677226,cow,cow,1,9762076.jpg,Train
0.28704822,0.18924913,0.2168679,0.17460869,cow,cow,1,9818472.jpg,Train
0.28324825,0.18145128,0.22241898,0.19166662,cow,cow,1,3008681.jpg,Train
0.2664018,0.16564439,0.20046155,0.16900468,cow,cow,1,1222865.jpg,Train
0.28178915,0.1913369,0.20534542,0.17055066,cow,cow,1,5873099.jpg,Train
0.2616508,0.15684585,0.20265192,0.17552944,cow,cow,1,3477507.jpg,Train
0.24971174,0.16731372,0.21196589,0.17024526,cow,cow,1,3724859.jpg,Train
0.24106903,0.13423504,0.20207208,0.1457794,cow,cow,1,7662445.jpg,Train
0.283324,0.19090216,0.22358935,0.18208109,cow,cow,1,7679273.jpg,Train
0.2864316,0.18376273,0.2198073,0.19380881,cow,cow,1,6590998.jpg,Train
